SCHOOL,STATE,CITY,PROGRAM,TYPE,DEPARTMENT,DELIVERY,DURATION,PREREQ,LINK,LOC_LAT,LOC_LONG,WORLD_RANK,COUNTRY,TEACHING,INTERNATIONAL,RESEARCH,CITATIONS,INCOME,TOTAL_SCORE,NUM_STUDENTS,STUDENT_STAFF_RATIO,INTERNATIONAL_STUDENTS,F_M_RATIO,YEAR
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,42.2,28.9,16.5,41.1,35.9,-,11604,12,12%,60:40:00,2016
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2015
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2014
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2013
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2012
American University,District of Columbia,Washington,"Online MBA with Analytics Concentration, Master of Science in  Analytics",M,Kogod School of Business,Online,15 months,Not Available,https://onlinebusiness.american.edu/admissions/,38.9378,-77.0901,401-500,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2011
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,32.4,31.9,38.1,84.6,32,49.7,83236,29.9,9%,61:40:00,2016
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,35.7,29.5,37.5,73.1,32.6,46.9,83236,29.9,9%,50:50:00,2015
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,33.8,28.6,35.9,83.6,31.4,48.9,83236,29.9,9%,50:50:00,2014
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,38.4,27.4,45.2,79.9,31.8,51.9,83236,29.9,9%,50:50:00,2013
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,38.2,26.1,39,80.3,28.7,49.9,83236,29.9,9%,50:50:00,2012
Arizona State University,Arizona,Tempe,Master of Science in Business Analytics,M,W.P. Carey School of Business,Online or Campus,9 month (FT) or 16 month (online),Not Available,https://programs.wpcarey.asu.edu/masters-programs/business-analytics,33.4219,-111.94,146,United States of America,43,24.1,44.1,66.9,-,50.3,83236,29.9,9%,50:50:00,2011
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,30.2,27.9,19.4,21,37.2,-,22386,17.6,4%,62:40:00,2016
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2015
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2014
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2013
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,33.7,22.5,18.7,10.3,47.3,-,22386,17.6,4%,51:49:00,2012
Auburn University,Alabama,Auburn University,Online Master of Business Administration with concentration in Business Analytics,M,Raymond J. Harbert College of Business,Online,36 credit hours,Not Available,http://harbert.auburn.edu/academics/online-programs/mba-online/index.php,32.6002,-85.4924,501-600,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2011
Boston University,Massachusetts,Boston,"Applied Business Analytics Graduate Certificate,MS in Statistical Practice, Master of Science in Computer Science - Data Analytics Concentration, Data Analytics Graduate Certificate, Master of Science in Applied Business Analytics Management",C,Department of Administrative Sciences,Online or On Campus,16 Credits,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,64,United States of America,57.8,51,49.5,97.7,30.3,66.1,24789,8.6,17%,63:40:00,2016
Boston University,Massachusetts,Boston,"Applied Business Analytics Graduate Certificate,MS in Statistical Practice, Master of Science in Computer Science - Data Analytics Concentration, Data Analytics Graduate Certificate, Master of Science in Applied Business Analytics Management",C,Department of Administrative Sciences,Online or On Campus,16 Credits,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,64,United States of America,56.4,47.8,46.7,94.4,30.3,63.6,24789,8.6,17%,58:42:00,2015
Boston University,Massachusetts,Boston,"Applied Business Analytics Graduate Certificate,MS in Statistical Practice, Master of Science in Computer Science - Data Analytics Concentration, Data Analytics Graduate Certificate, Master of Science in Applied Business Analytics Management",C,Department of Administrative Sciences,Online or On Campus,16 Credits,Not Available,http://www.bu.edu/met/programs/graduate/applied-business-analytics-certificate/,42.3496,-71.0998,64,United States of America,56.5,44.2,46.1,95.3,31.1,63.5,24789,8.6,17%,58:42:00,2014
